stage,teams,result
group-stage,nip made-in-brazil,1
playoff,,
standoff,astralis cloud9,2
group-stage,astralis cloud9,1
group-stage,astralis faze,2
group-stage,astralis nip,2
group-stage,cloud9 faze,2
group-stage,cloud9 liquid,2
group-stage,cloud9 navi,0
group-stage,cloud9 nip,2
group-stage,faze liquid,2
group-stage,faze nip,1
group-stage,liquid astralis,2
group-stage,liquid nip,2
group-stage,navi astralis,0
group-stage,navi faze,2
group-stage,navi liquid,1
group-stage,navi nip,1
playoff,faze nip,1
standoff,navi astralis,2
playoff,astralis liquid,1
playoff,astralis liquid,1
playoff,faze liquid,2
playoff,faze nip,2
playoff,nip astralis,2
playoff,nip liquid,2
standoff,faze nip,1
group-stage,astralis cloud9,1
group-stage,astralis made-in-brazil,1
group-stage,cloud9 nip,2
group-stage,cloud9 space-soldiers,1
group-stage,cloud9 vp,2
group-stage,made-in-brazil cloud9,1
group-stage,made-in-brazil vp,1
group-stage,nip astralis,2
group-stage,nip made-in-brazil,0
group-stage,space-soldiers astralis,2
group-stage,space-soldiers made-in-brazil,2
group-stage,space-soldiers nip,1
group-stage,space-soldiers vp,1
group-stage,vp astralis,2
group-stage,vp nip,2
playoff,astralis made-in-brazil,1
standoff,nip space-soldiers,1
group-stage,astralis cloud9,1
group-stage,astralis faze,1
group-stage,astralis made-in-brazil,1
group-stage,astralis navi,1
group-stage,astralis nip,1
group-stage,faze cloud9,2
group-stage,faze made-in-brazil,0
group-stage,faze navi,2
group-stage,faze nip,0
group-stage,made-in-brazil cloud9,2
group-stage,made-in-brazil navi,1
group-stage,made-in-brazil nip,1
group-stage,navi cloud9,1
group-stage,navi nip,1
group-stage,nip cloud9,2
playoff,astralis navi,1
standoff,cloud9 faze,2
group-stage,cloud9 nrg,0
group-stage,cloud9 renegades,2
group-stage,faze cloud9,2
group-stage,faze liquid,2
group-stage,faze nrg,1
group-stage,faze renegades,1
group-stage,liquid cloud9,1
group-stage,liquid nrg,1
group-stage,liquid renegades,1
group-stage,made-in-brazil cloud9,0
group-stage,made-in-brazil faze,2
group-stage,made-in-brazil liquid,2
group-stage,made-in-brazil nrg,2
